,,,,,,,,,,,,,,,,,,,,,,,,,
S. No. ,Name of equipment,PARAMETERS,Make/Model,Identification number,Range,Least count,Calibration Date,Calibration validity,Calibrated by,Section,Remarks,Acceptance criteria,Intermediate checks,,,,,,,,,,,,
34.0,Durometer (Shore A),,LXD-A,SH1605A1921,0-100 shore A,1 shore A,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
35.0,Thread Pitch Gauge,,mitutoyo,--,0.40-7.00 mm,--,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
36.0,Limit Gauge,,Kristeel shinwa,--  ,1'-45°,--,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
37.0,Radius Gauge,,mitutoyo,--,1-7 mm,--,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
38.0,Radius Gauge,,Kristeel shinwa,--,25-40 mm,--,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
39.0,Pie Tape,,--,--,300-600 mm,0.01 mm,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
40.0,Bevel Protractor,,mitutoyo,M/BP/01,0-360°,5',2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
41.0,Plunger Dial Gauge ,,baker,BJD159,0-10 mm,0.01 mm,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
42.0,Pie Tape,,P/T,10808.0,600-900 mm,0.01 mm,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
43.0,Plunger Dial Gauge ,,baker,FFA392,0-10 mm,0.01 mm,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
44.0,straight edge,,--,SM 303 ST 01,0-2500 mm,--,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
45.0,Digital Temperature Controller,,digitron,--,0 to 600°C,0.1°C,2025-08-22 00:00:00,2026-08-21 00:00:00,Hi Tech Calibration,Mechanical,,,,,,,,,,,,,,,
45.0,GLASS THERMOMETER,,Dimple,GTM-04,-10 to 110 ° C,0.5 °C,2025-08-18 00:00:00,2026-08-17 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
46.0,BOD Incubator,,shri durga scientific industries,SC 307 BI05,5 to 60°C,0.1 °C,2025-08-19 00:00:00,2026-08-18 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
47.0,GLASS THERMOMETER,,Dimple,GTM-03,-10 to 110 ° C,0.5 °C,2025-08-18 00:00:00,2026-08-17 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
48.0,MEASURING TAPE,, IND/09/11/446,----,0-5000 mm,1 mm,2025-01-29 00:00:00,2026-01-28 00:00:00,North lab India PVt ltd,Mechanical,,,,,,,,,,,,,,,
48.0,GLASS THERMOMETER,,Dimple,GTM-01,0-250°C,,2025-08-18 00:00:00,2026-08-17 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
49.0,GLASS THERMOMETER,,Dimple,GTM-02,0-250°C,1 °C,2025-08-18 00:00:00,2026-08-17 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
50.0,GLASS THERMOMETER,,-,GTM-05,10-30°C,0.5 °C,2025-08-18 00:00:00,2026-08-17 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
51.0,digital thermo hygrometer,,HTC ,SROL/MECH/HG/05,-50°C to 70°C & 10 to 99% RH,0.1 °C & 1% RH,2025-08-18 00:00:00,2026-08-17 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
52.0,Digital Thermo Hygrometer,,HTC,M/HG-01,-10°C to 50°C & 10 to 99% RH,0.1 °C & 1% RH,2025-08-18 00:00:00,2026-08-17 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
53.0,Digital Thermo Hygrometer,,HTC,M/HG-02,-10°C to 50°C & 10 to 99% RH,0.1 °C & 1% RH,2025-08-18 00:00:00,2026-08-17 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
54.0,Digital Themometer with K Type Sensor,,digiqual,DQ 401,0 °C to 1200 °C,1 °C,2025-01-21 00:00:00,2026-01-20 00:00:00,Euro Calibration Technique,Mechanical,,,,,,,,,,,,,,,
54.0,Digital Thermo Hygrometer,,HTC,M/HG-03,-10°C to 50°C & 10 to 99% RH,0.1 °C & 1% RH,2025-08-18 00:00:00,2026-08-17 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
55.0,Digital Thermo Hygrometer,,HTC,M/HG-04,-10°C to  50°C & 10 to 99% RH,0.1 °C & 1% RH,2025-08-18 00:00:00,2026-08-17 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
56.0,Digital Thermo Hygrometer,,HTC,M/HG-05,-10°C to 50°C & 10 to 99% RH,0.1 °C & 1% RH,2025-08-18 00:00:00,2026-08-17 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
57.0,Feeler Gauge,,mitutoyo,FG-01,0.07 to 1.00 mm,--,2025-08-26 00:00:00,2026-08-25 00:00:00,Hi Tech Calibration,mechanical,,,,,,,,,,,,,,,
57.0,Digital Thermo Hygrometer,,HTC,M/HG-06,-10°C to 50°C & 10 to 99% RH,0.1 °C & 1% RH,2025-08-18 00:00:00,2026-08-17 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
58.0,Digital Thermo Hygrometer,,HTC,M/HG-07,-10°C to 50°C & 10 to 99% RH,0.1 °C & 1% RH,2025-08-18 00:00:00,2026-08-17 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
59.0,Digital Thermo Hygrometer,,HTC,M/HG-08,-10°C to  50°C & 10 to 99% RH,0.1 °C & 1% RH,2025-08-18 00:00:00,2026-08-17 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
60.0,Digital Thermo Hygrometer,,HTC,M/HG-09,-10°C to 50°C & 10 to 99% RH,0.1 °C & 1% RH,2025-08-18 00:00:00,2026-08-17 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
61.0,Digital Thermo Hygrometer,,HTC,M/HG-10,-10°C to 50°C & 10 to 99% RH,0.1 °C & 1% RH,2025-08-18 00:00:00,2026-08-17 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
62.0,Pressure gauge,,Baumer,PG/M/01,0 to 10 kg/cm² ,0.2 kg/cm²,2025-08-19 00:00:00,2026-08-18 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
63.0,Pressure gauge,,Baumer,PG/M/02,0 to 4.2 kg/cm² ,0.1 kg/cm²,2025-08-19 00:00:00,2026-08-18 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
64.0,Pressure gauge,,baumer,PG/M/03,0 to 4.2 kg/cm² ,0.1 kg/cm²,2025-08-19 00:00:00,2026-08-18 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
65.0,Pressure gauge,,Allied,PG/M/04, 0 to 100 kg/cm² ,,2020-08-20 00:00:00,2026-08-19 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
66.0,Pressure gauge,,micro,PG/M/05,0 to 42 kg/cm² ,0.5 kg/cm²,2025-08-20 00:00:00,2026-08-19 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
67.0,HUMIDITY CHAMBER,,THE ILE CO.,SM202HF04,0 C - 60.0 °C & 0- 99% RH,0.1 °C & 0.1% RH,,,,,,,,,,,,,,,,,,,
68.0,Sodium Chloride Bath,,Sigma Scientific Products,SM 308 SCB 01,-,,,,,,,,,,,,,,,,,,,,
69.0,Infrared Thermometer,,fluke,62 MAX,-30°C TO 500° C,0.1 °C,2025-08-18 00:00:00,2026-08-17 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
