BUREAU OF INDIAN STANDARDS,,,,,,,,,,
SOUTHERN REGIONAL LABORATORY,,,,,,,,,,
PHYSICAL VERIFICATION OF CAPITAL EQUIPMENT AS ON 29.02.2025 Mechanical Lab,,,,,,,,,,
S.No.,Name,Make,Cost Rs.P,Lab Code,Location,Dt. Rec.,Entry details in Fixed asset register,URL,QR Code,Status (Working/Not working/Condemned/To be condemned)
33,Flow Mould,AIMIL LTD,3825,SM218FM01,Mech,18-01-2017,7 REGISTER PAGE NO. 165,https://docs.google.com/document/d/1Xq6A9xZm26oYr1NsM7Dq_Ym0gS75JOS8/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
34,Vernier Caliper,"Mehta Doshi & Co., Ch.",23423,SM219VC01,Mech,22.01.2018,7 REGISTER PAGE NO. 135,https://docs.google.com/document/d/1WJGoUoHHFBa1GIqu9ollm0j39dWRegb9/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
35,Load test Bench(for Asbestos sheet,BAAS TECH,127912,SM221LTB 01,Mech,28.03.2018,7 REGISTER PAGE NO. 141,https://docs.google.com/document/d/1BWTf7ho1HXmPjIHz-Hh7-aBb6j5VrKPU/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
36,Load cell Digital indicator,BAAS TECH,24898,SM222LCI 01,Mech,04.09.2018,7 REGISTER PAGE NO. 127,https://docs.google.com/document/d/1sq3pGwe97VT0z0lhyVRMhZmdFYNL5CQ_/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
37,Fatique Test Bench,BAAS Tech,106200,SM224FTB01,Mech,07.12.2018,7 REGISTER PAGE NO.161,https://docs.google.com/document/d/1eOnm2fN42i6A8m57hgQh3SfIgObuUTKx/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
38,Demolition hammer,Harisudha Enterprises,15000,SM225DH01,Mech,03.01.2019,7 REGISTER PAGE NO.215,https://docs.google.com/document/d/1eo2oXlksbxUpdMVvPG9Fgf9MGHj466AX/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
39,Weighing Balance,AcurelWeighing Systems Pvt. Ltd.,14750,SM226WBL01,Mech,30.01.2019,7 REGISTER PAGE NO.470,https://docs.google.com/document/d/1JxZQfrMmfpNmlKmoZaDmWzQvGfvIPMmz/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
40,Humidity Chamber,Inlab Equipment,234820,SM227HC01,Mech,20.02.2019,7 REGISTER PAGE NO.96,https://docs.google.com/document/d/1GQL1sidKhIhCsvXmOOw1vz5Fl9arknqX/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
41,VST APPARATUS,SAMYA EXTRUSIONTECH,66906,SM228VST01,Mech,29.01.2019,7 REGISTER PAGE NO.151,https://docs.google.com/document/d/1BiS12ts6GCmkfLK6tchgVKThJ4PTy4OX/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
42,Barometer,Jayasree Reva,11210,SM229BMO1,Mech,30.01.2020,7 REGISTER PAGE NO.123,https://docs.google.com/document/d/1gzSciYv28bRd-s36fCfMVDR2wEemDykB/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
43,UPVC Inpact test machine,,,,HYD,,,https://docs.google.com/document/d/12yi8YyOYXb8-mDZE10NUbxXPO9SMH0MI/edit,,  
44,Balance 100kg for square tin test,,,,HYD,,,https://docs.google.com/document/d/1BU-pFALWLWfJlFDsGi2tjh6nlAxAng9F/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
45,Compression set apparatus,,,,TEX,,,https://docs.google.com/document/d/1Jp7B1s2eYsbAqGObme8i2Q69_Fp86ecS/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
46,Air Copression,Elgi Equipments,,,Mech,,7 REGISTER PAGE NO.5,https://docs.google.com/document/d/1-6X7h14XtwGRTtHriZVL5u4DW0L2DnLf/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
47,Co measuring meter,,,,Mech,,,https://docs.google.com/document/d/1F1Wb4J9dpFCCMb7GiYRLbYrh0Lpg42Po/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
48,Air Compression,White Star ,,,Mech,,7 REGISTER PAGE NO.5,https://docs.google.com/document/d/1n-YwJQU3b4-n8hheXXvPVnwXxV3gbzfh/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
49,THREAD GAUGES,"CIPET, BHUBANESHWAR",174168,SM 230TG 01,Mech,04.08.2020,7 REGISTER PAGE NO. 157,https://docs.google.com/document/d/1EcZ2E9TGDl7Xymcll0tMYOEEHhdqR096/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
50,digital infrared thermometer,FUTURE ELECTRONICS,11495.15,SM 231 DIT 01,Mech,17.09.2020,7 REGISTER PAGE NO. 321,https://docs.google.com/document/d/1KLPKT1I8JGSz2kU72JPP5e-sbmiojWWl/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
51,Fixture for pull out strength of rubber base,BAAS TECH,24898,SM 232 FPS 01,Mech,08.10.2020,7 REGISTER PAGE NO.162,https://docs.google.com/document/d/1xs-xgGeZl59jJImsXV815ggYzK95jL08/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
52,valve core leakage equipment,BAAS TECH,23482,SM 233 VCL 01,Mech,14.10.2020,7 REGISTER PAGE NO. 428,https://docs.google.com/document/d/1OvKGmA0Jdx5SE0cae8qBxNC5JSqlHOde/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
53,ultrasonic Thickness gauge,BLUE STAR ENGG & ELECTRONICS LTD,249570,SM 234 UTG 01,Mech,04.11.2020,7 REGISTER PAGE NO.408,https://docs.google.com/document/d/1EoCUFtnTfXosszzcimli9fa1Q0QRQdBr/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
54,yo yo ball tester,RAMP IMPEX (INDIA) PVT LTD,53911,SM 235 YOYO 01,Mech,21.10.2020,,https://docs.google.com/document/d/1Ad4np1-z9p4EfQ0I-3GWaPtJ-hfTBf1o/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
55,pendulum test apparatus,RAMP IMPEX (INDIA) PVT LTD,56448,SM 236 PTA 01,Mech,04.11.2020,7 REGISTER PAGE NO.282,https://docs.google.com/document/d/1crztWkLgVh0sAtCokicNJD6HRihIv_RR/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
56,THREAD GAUGES,SIZE MASTER GAUGES & TOOLS,47546.47,SM 237 TG 02,Mech,21.10.2020,7 REGISTER PAGE NO.158,THREAD GAUGES_SM237TG02_MECH.docx,,Working
57,washing machine,SAI INDUSTRIAL ALLIANCES P LTD,48200,SM 238 WM 01,Mech,05.10.2020,7 REGISTER PAGE NO.140,https://docs.google.com/document/d/1eogqJ-zyban5Mz8HCrVFUPbCaqSutpAA/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
58,thread gauges for tubes valves,ACCUSIZE GAUGES & TOOLS PVT LTD,50879.71,SM 239 TG 03,Mech,09.11.2020,7 REGISTER PAGE NO.158,https://docs.google.com/document/d/1pSjMfMfqK9_CuZIfNCI-gzkDE68hsZqO/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
59,inclined plane,BAAS TECH,28438,SM 240 IP 01,Mech,01.12.2020,7 REGISTER PAGE NO.323,https://docs.google.com/document/d/1OvZOP0QI3VsILMHJ2Kr8T2B2bQmD9p30/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
60,Test set up for steering tube,RAMP IMPEX (INDIA) PVT LTD,158563,SM 241 TST 01,Mech,11-01-2021,7 REGISTER PAGE NO.143,https://docs.google.com/document/d/1aenY0R_vT40kkrH6RH4B3TlB2gzDcNhX/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
61,Dynamic strength of barriers,RAMP IMPEX (INDIA) PVT LTD,184567,SM 242 DSB 01,Mech,11-01-2021,7 REGISTER PAGE NO.169,https://docs.google.com/document/d/1I1viKzlqb_3mP-tIuIPkssVuBKpslAkO/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
62,1)stability Tester,RAMP IMPEX (INDIA) PVT LTD,121141.75,SM 243(1) ST 01,Mech,11-01-2021,7 REGISTER PAGE NO.171,https://docs.google.com/document/d/1W0sT0JXHicabwaXLeCSHFpheziWEkMge/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
63,2)Load for Strength Stability,RAMP IMPEX (INDIA) PVT LTD,163947.25,SM 243(2) LS 01,Mech,11-01-2021,7 REGISTER PAGE NO.173,https://docs.google.com/document/d/1rQ0sGBrvN3cILgiL8NEoZbEibttAgLCK/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
64,Kinetic Energy Tester,RAMP IMPEX (INDIA) PVT LTD,196617,SM 244 KET 01,Mech,11-01-2021,7 REGISTER PAGE NO.145,https://docs.google.com/document/d/1tW7pBUDx2n3aswdt7bCc1hAyqw3-Aodz/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
65,Mouth toy endure and mouth actuated,RAMP IMPEX (INDIA) PVT LTD,200423,SM 245 MTE 01,Mech,11-01-2021,7 REGISTER PAGE NO.163,https://docs.google.com/document/d/13iKUmR9ElWCM-SSuVDeH4tyR06hu2y_E/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
66,Durability tester and toys chest lid tester,RAMP IMPEX (INDIA) PVT LTD,183932,SM 246 DTR 01,Mech,11-01-2021,7 REGISTER PAGE NO.175,https://docs.google.com/document/d/1CbAeTW7-WbKRLhJtncWNOIKpUELd_EL6/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
67,Radius Pliers,RAMP IMPEX (INDIA) PVT LTD,9514,SM 247 RP 01,Mech,13.01.2021,7 REGISTER PAGE NO. 61,https://docs.google.com/document/d/1Zg88-8He7Kxr2cTOhbiXn5W-E_bfduTc/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
68,Loads for tests,S K ENTERPRISES,191158,SM 248 LFT 01,Mech,27.01.2021,7 REGISTER PAGE NO. 235,https://docs.google.com/document/d/1WUTCp5Teq_Dia8or1QH6sdGwnHeqvIJR/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
69,Force gauge assembly rod,S K ENTERPRISES,20833,SM 249 FGAR 01,Mech,27.01.2021,7 REGISTER PAGE NO. 233,https://docs.google.com/document/d/1nzzc4dLNt1vsV8itFrSr_PcG2Dzu5I7g/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
70,Head probe,S K ENTERPRISES,21022,SM 250 HP 01,Mech,27.01.2021,7 REGISTER PAGE NO. 203,https://docs.google.com/document/d/1ihcKi4K3jFD6VFVsFVK_ke0etYelAn5R/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
71,Impact test apparatus with steel ball,S K ENTERPRISES,57638,SM 251 ITA 01,Mech,27.01.2021,7 REGISTER PAGE NO. 229,https://docs.google.com/document/d/1pn0tZ0ixZvqV-OxToKb-I75IAVmaNvyK/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
72,Force gauge/Push pull gauge,RAMP IMPEX (INDIA) PVT LTD,53277,SM 252 FG 01,Mech,22.02.2021,7 REGISTER PAGE NO. 335,https://docs.google.com/document/d/1s2tnw6C1UXA-GUBjPh9Y2m6EeOCsov_7/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
73,Articulated acessbility probe A & B,ASIAN TEST EQUIPMENTS,56345,SM 253 AP 01,Mech,23.02.2021,7 Register page no. 329,https://docs.google.com/document/d/1o7_sLAAIRkE2zeIy5MMp9neUtUu7zAYP/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
74,Toggle test device,ASIAN TEST EQUIPMENTS,29500,SM 254 TTD 01,Mech,23.02.2021,7 Register page no. 327,https://docs.google.com/document/d/1O6FiU70t_corByxfGTQjoCmT9xxAcP2c/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
75,Lower force micro meter,ASIAN TEST EQUIPMENTS,66080,SM 255 LFM 01,Mech,23.02.2021,7 Register page no. 331,https://docs.google.com/document/d/11Pvy2awQOltQQuZO8RUv5K46cF6gQpWu/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
